Названия;Описание товара;в наличии товара;Ссылка
Сотовый телефон Apple iPhone 12 Pro Max 128GB графитовый;95510 сом-0%95090 сом;"Сотовый телефон Apple iPhone 12 Pro Max 128GB графитовыйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-128gb-grafitovyy
Сотовый телефон Apple iPhone 12 Pro Max 128GB серебристый;95510 сом-0%95090 сом;"Сотовый телефон Apple iPhone 12 Pro Max 128GB серебристыйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-128gb-serebristyy
Сотовый телефон Apple iPhone 12 Pro Max 128GB синий;95510 сом-0%95090 сом;"Сотовый телефон Apple iPhone 12 Pro Max 128GB синийiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-128gb-siniy
Сотовый телефон Apple iPhone 12 Pro Max 128GB золотой;95510 сом-0%95090 сом;"Сотовый телефон Apple iPhone 12 Pro Max 128GB золотойiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-128gb-zolotoy
Сотовый телефон Apple iPhone 12 Pro Max 256GB графитовый;104170 сом-1%103580 сом;"Сотовый телефон Apple iPhone 12 Pro Max 256GB графитовыйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 256 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-256gb-grafitovyy
Сотовый телефон Apple iPhone 12 Pro Max 256GB серебристый;104170 сом-1%103580 сом;"Сотовый телефон Apple iPhone 12 Pro Max 256GB серебристыйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 256 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-256gb-serebristyy
Сотовый телефон Apple iPhone 12 Pro Max 256GB синий;104170 сом-1%103580 сом;"Сотовый телефон Apple iPhone 12 Pro Max 256GB синийiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 256 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-256gb-siniy
Сотовый телефон Apple iPhone 12 Pro Max 256GB золотой;104170 сом-1%103580 сом;"Сотовый телефон Apple iPhone 12 Pro Max 256GB золотойiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 256 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-max-256gb-zolotoy
Сотовый телефон ASUS Fonepad Note 6 16Gb черный;36080 сом;"Сотовый телефон ASUS Fonepad Note 6 16Gb черныйсмартфон, Android 4.2; экран 6"", разрешение 1920x1080; камера 8 МП, автофокус; память 16 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS, ГЛОНАСС; аккумулятор 3200 мА⋅ч; вес 210 г, ШxВxТ...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-asus-fonepad-note-6-16gb-chernyy
Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) черный;21900 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) черныйэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-4-128gb-sm-a325f-ds-chernyy
